"","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY","BILL_AMT","PAY_AMT","DEFAULT","UTILIZATION"
"7957",230000,2,1,2,36,0,111691,8000,0,0.485613043478261
"7958",20000,2,2,1,43,0,7470,1145,0,0.3735
"7959",1e+05,1,2,1,52,0,21641,2000,0,0.21641
"7960",150000,2,1,2,26,-1,38052,0,0,0.25368
"7961",320000,2,1,2,28,-1,11684,1135,0,0.0365125
"7962",50000,2,2,1,33,0,76025,3750,1,1.5205
"7963",50000,1,2,2,53,0,50302,2100,0,1.00604
"7964",370000,2,2,2,39,0,181221,10073,0,0.489786486486486
"7965",150000,2,1,1,37,-1,58337,0,0,0.388913333333333
"7966",2e+05,2,2,1,40,-1,390,390,1,0.00195
"7967",2e+05,2,2,2,46,0,121198,4593,0,0.60599
"7968",240000,2,2,2,26,0,138859,5308,1,0.578579166666667
"7969",40000,2,2,1,24,2,28953,6918,1,0.723825
"7970",140000,1,1,2,31,0,97448,1413,0,0.696057142857143
"7971",50000,1,2,2,35,0,50497,2011,0,1.00994
"7972",50000,2,3,1,48,0,38031,2000,0,0.76062
"7973",140000,1,1,2,32,-1,12319,0,0,0.0879928571428571
"7974",240000,2,3,1,28,0,230184,9000,1,0.9591
"7975",230000,2,1,2,29,-1,495,466,0,0.00215217391304348
"7976",2e+05,2,2,2,32,0,165074,10000,0,0.82537
"7977",50000,2,1,1,49,0,44767,5001,0,0.89534
"7978",5e+05,2,1,1,42,1,0,0,0,0
"7979",20000,1,3,2,22,1,18977,0,0,0.94885
"7980",80000,1,2,2,30,2,73113,3300,0,0.9139125
"7981",30000,2,1,1,44,-2,616,0,0,0.0205333333333333
"7982",80000,2,2,1,35,0,14376,1435,0,0.1797
"7983",30000,2,2,1,52,0,27101,4110,0,0.903366666666667
"7984",2e+05,2,3,1,48,-2,0,0,0,0
"7985",240000,1,4,2,29,0,219419,7000,0,0.914245833333333
"7986",280000,1,2,2,29,0,255317,9439,1,0.911846428571429
"7987",170000,2,2,2,33,-1,1547,0,0,0.0091
"7988",1e+05,2,3,2,44,0,89988,3852,0,0.89988
"7989",70000,2,2,2,24,0,65508,4000,1,0.935828571428571
"7990",110000,2,2,3,27,0,91538,3354,0,0.832163636363636
"7991",1e+05,2,3,2,27,0,83587,3151,0,0.83587
"7992",80000,1,1,2,39,2,78246,3000,1,0.978075
"7993",150000,2,1,1,40,-2,52097,2000,0,0.347313333333333
"7994",150000,1,2,2,26,0,69358,4213,0,0.462386666666667
"7995",10000,1,3,1,52,1,6969,0,1,0.6969
"7996",210000,2,1,2,35,-2,0,0,0,0
"7997",20000,1,2,2,25,0,19770,1465,1,0.9885
"7998",20000,1,2,1,38,0,6715,1287,0,0.33575
"7999",80000,2,3,1,48,2,63695,6056,0,0.7961875
"8000",2e+05,1,1,1,34,-1,2727,1332,0,0.013635
"8001",10000,1,2,2,34,0,9323,1000,0,0.9323
"8002",20000,1,2,1,40,1,20138,0,1,1.0069
"8003",40000,2,1,1,27,0,40856,2023,0,1.0214
"8004",110000,1,3,1,50,0,109192,4300,0,0.992654545454545
"8005",50000,1,3,1,50,0,63889,2800,0,1.27778
"8006",1e+05,2,1,2,28,0,46430,2000,0,0.4643
"8007",50000,1,2,2,21,0,21023,3000,0,0.42046
"8008",30000,2,3,1,23,2,15955,0,1,0.531833333333333
"8009",20000,1,1,2,23,2,7040,1128,1,0.352
"8010",1e+05,1,2,1,44,2,30094,1800,1,0.30094
"8011",120000,1,1,2,29,0,118303,3358,1,0.985858333333333
"8012",170000,2,1,2,30,1,0,0,1,0
"8013",20000,1,1,1,40,0,30832,3500,0,1.5416
"8014",50000,2,3,1,36,0,46311,2014,0,0.92622
"8015",3e+05,2,1,1,31,0,149893,7000,0,0.499643333333333
"8016",20000,2,1,2,26,2,300,0,1,0.015
"8017",130000,1,2,2,29,0,29252,2000,0,0.225015384615385
"8018",5e+05,2,2,1,41,-1,2503,1043,0,0.005006
"8019",30000,1,2,2,41,-1,9736,1182,0,0.324533333333333
"8020",180000,2,2,1,41,0,139184,6411,0,0.773244444444444
"8021",480000,2,1,2,29,1,0,0,0,0
"8022",80000,2,2,2,30,1,0,0,0,0
"8023",140000,2,3,2,24,0,20923,1633,0,0.14945
"8024",180000,2,3,2,30,0,105873,5000,0,0.588183333333333
"8025",30000,2,2,2,30,0,16570,3000,0,0.552333333333333
"8026",290000,1,1,3,55,0,7970,2482,1,0.0274827586206897
"8027",110000,2,3,2,45,0,9242,5000,0,0.0840181818181818
"8028",60000,1,1,2,25,0,24200,11000,0,0.403333333333333
"8029",80000,2,1,1,35,-1,3614,0,0,0.045175
"8030",110000,1,1,2,25,0,64155,2621,0,0.583227272727273
"8031",20000,1,2,1,42,1,17614,0,1,0.8807
"8032",240000,2,3,1,44,-1,24469,11511,0,0.101954166666667
"8033",4e+05,1,1,1,44,0,18432,6838,0,0.04608
"8034",120000,1,1,1,34,2,97463,4000,1,0.812191666666667
"8035",330000,1,1,2,39,0,365672,12350,0,1.10809696969697
"8036",30000,1,2,2,29,-1,390,390,0,0.013
"8037",1e+05,1,3,1,55,2,435,435,0,0.00435
"8038",140000,1,1,2,37,-1,291,291,0,0.00207857142857143
"8039",310000,1,1,2,37,-2,0,0,1,0
"8040",110000,2,1,2,25,-2,86107,0,0,0.782790909090909
"8041",20000,1,2,1,45,-2,1651,0,0,0.08255
"8042",20000,1,3,2,24,0,13470,1500,1,0.6735
"8043",220000,2,1,2,36,-1,1838,923,0,0.00835454545454545
"8044",150000,2,1,2,34,1,0,0,1,0
"8045",1e+05,2,1,1,32,2,98033,4620,0,0.98033
"8046",260000,1,1,1,50,0,115937,5800,0,0.445911538461538
"8047",50000,1,3,1,41,4,52955,0,1,1.0591
"8048",50000,2,2,2,27,0,46465,2367,0,0.9293
"8049",240000,2,1,2,34,-1,4970,0,0,0.0207083333333333
"8050",230000,1,3,2,24,0,82066,4000,0,0.356808695652174
"8051",90000,2,2,2,28,0,69186,5000,0,0.768733333333333
"8052",20000,2,2,2,22,0,5473,2300,0,0.27365
"8053",70000,2,3,2,25,0,68658,4500,0,0.980828571428571
"8054",260000,1,1,2,29,0,128208,17000,0,0.493107692307692
"8055",20000,2,2,2,35,1,14181,0,1,0.70905
"8056",150000,2,2,2,29,0,94409,5000,0,0.629393333333333
"8057",2e+05,2,3,2,51,0,196875,7657,0,0.984375
"8058",50000,1,1,2,57,0,50770,1814,0,1.0154
"8059",210000,1,2,1,39,-1,1443,1443,0,0.00687142857142857
"8060",30000,2,2,2,34,1,23860,0,0,0.795333333333333
"8061",170000,2,2,2,35,0,13500,1315,0,0.0794117647058823
"8062",5e+05,2,2,2,32,0,44462,7000,0,0.088924
"8063",80000,1,2,2,31,0,45605,1800,0,0.5700625
"8064",70000,1,2,2,24,3,63000,3000,1,0.9
"8065",1e+05,1,3,2,26,0,30627,2326,0,0.30627
"8066",3e+05,2,2,1,26,-1,316,316,0,0.00105333333333333
"8067",190000,1,1,2,30,-1,25953,1698,0,0.136594736842105
"8068",30000,2,3,1,43,0,23101,1481,0,0.770033333333333
"8069",230000,2,3,1,58,1,0,0,0,0
"8070",80000,1,1,1,46,0,39115,2000,0,0.4889375
"8071",280000,2,1,2,36,1,124,0,0,0.000442857142857143
"8072",140000,2,1,2,29,1,144922,17,0,1.03515714285714
"8073",30000,2,3,1,35,2,27160,0,1,0.905333333333333
"8074",30000,2,2,1,36,2,16818,4000,1,0.5606
"8075",20000,1,2,1,51,0,18673,1297,0,0.93365
"8076",20000,1,2,2,23,0,16831,4183,1,0.84155
"8077",360000,2,1,2,27,0,21275,1800,1,0.0590972222222222
"8078",60000,2,1,2,24,0,56119,2664,0,0.935316666666667
"8079",20000,2,2,2,48,0,14218,1562,1,0.7109
"8080",170000,1,1,2,48,2,2400,0,0,0.0141176470588235
"8081",430000,2,1,2,29,0,67336,3261,0,0.156595348837209
"8082",180000,1,1,1,31,-1,1100,860,1,0.00611111111111111
"8083",50000,1,2,2,42,-1,47612,2113,0,0.95224
"8084",60000,1,2,2,29,2,47631,2000,0,0.79385
"8085",80000,2,2,2,23,0,80998,4500,0,1.012475
"8086",50000,1,3,1,41,-2,26948,5017,0,0.53896
"8087",2e+05,2,2,2,37,2,214261,8000,0,1.071305
"8088",460000,2,1,2,36,-1,58312,36570,0,0.126765217391304
"8089",130000,2,2,2,23,0,78426,3000,0,0.603276923076923
"8090",440000,1,2,2,29,0,430990,18887,0,0.979522727272727
"8091",280000,1,2,2,38,2,168581,6000,1,0.602075
"8092",60000,2,2,2,24,0,57925,2100,0,0.965416666666667
"8093",210000,2,2,2,38,0,194358,8000,0,0.925514285714286
"8094",1e+05,2,3,2,46,0,56009,3000,0,0.56009
"8095",240000,1,1,1,46,-2,0,0,0,0
"8096",280000,2,3,2,43,0,194868,7000,0,0.695957142857143
"8097",130000,2,1,2,29,-1,78,0,0,6e-04
"8098",360000,1,1,2,35,-2,1533,24,1,0.00425833333333333
"8099",210000,2,3,2,36,0,203447,6549,0,0.968795238095238
"8100",20000,1,3,2,23,2,15034,3200,1,0.7517
"8101",20000,2,2,2,23,0,4731,2000,0,0.23655
"8102",50000,1,2,1,34,1,16501,0,1,0.33002
"8103",1e+05,2,2,1,39,0,97040,2617,0,0.9704
"8104",50000,1,3,2,29,-2,0,0,0,0
"8105",130000,1,2,2,27,1,123371,6000,1,0.949007692307692
"8106",270000,2,1,2,31,0,13759,0,0,0.0509592592592593
"8107",50000,2,2,2,24,-1,390,390,0,0.0078
"8108",80000,2,2,1,35,0,9647,1206,0,0.1205875
"8109",10000,2,1,2,29,-1,1727,1508,0,0.1727
"8110",190000,2,2,1,34,-1,500,300,0,0.00263157894736842
"8111",50000,1,1,2,27,0,40688,4100,0,0.81376
"8112",1e+05,2,3,1,46,2,42674,4000,1,0.42674
"8113",150000,1,2,2,49,0,151822,2985,1,1.01214666666667
"8114",510000,1,3,2,30,-2,548,0,0,0.00107450980392157
"8115",110000,2,2,2,24,-1,1362,1352,0,0.0123818181818182
"8116",50000,2,2,1,54,0,48403,2020,0,0.96806
"8117",50000,2,2,2,23,-1,25622,10122,0,0.51244
"8118",10000,2,1,2,24,2,6524,1300,0,0.6524
"8119",210000,2,1,2,26,1,120098,4500,0,0.571895238095238
"8120",370000,1,2,2,28,0,261021,10001,0,0.705462162162162
"8121",360000,2,2,1,33,0,3177,0,0,0.008825
"8122",50000,2,2,1,31,0,44970,3855,1,0.8994
"8123",360000,1,2,2,38,-2,0,0,0,0
"8124",170000,2,1,1,35,0,86239,1512,0,0.507288235294118
"8125",70000,1,2,2,26,0,67864,3517,1,0.969485714285714
"8126",360000,2,1,2,34,-1,8871,6411,0,0.0246416666666667
"8127",50000,1,1,1,38,0,12650,0,0,0.253
"8128",2e+05,1,1,1,41,-1,1378,0,0,0.00689
"8129",140000,1,2,2,30,-1,326,326,1,0.00232857142857143
"8130",120000,2,2,2,33,0,120411,6300,0,1.003425
"8131",3e+05,2,1,2,29,0,26857,9511,0,0.0895233333333333
"8132",20000,2,2,2,22,0,15169,2874,0,0.75845
"8133",160000,2,2,2,25,2,158629,7500,1,0.99143125
"8134",20000,1,1,2,24,2,17781,2000,1,0.88905
"8135",120000,1,2,1,41,0,44966,1690,0,0.374716666666667
"8136",60000,1,2,1,32,0,30781,1505,0,0.513016666666667
"8137",110000,2,1,2,29,0,69718,3000,0,0.6338
"8138",50000,2,3,1,43,0,42874,1862,0,0.85748
"8139",630000,1,1,2,32,-2,2731,1138,0,0.00433492063492064
"8140",30000,1,1,2,28,0,23837,1800,0,0.794566666666667
"8141",50000,1,2,2,33,0,50094,2479,0,1.00188
"8142",60000,1,2,1,42,0,49244,2000,0,0.820733333333333
"8143",20000,1,2,2,27,0,18860,1360,0,0.943
"8144",80000,1,3,2,32,0,71375,1414,0,0.8921875
"8145",160000,2,2,2,52,0,38695,3000,0,0.24184375
"8146",1e+05,1,2,2,43,0,103601,5088,0,1.03601
"8147",90000,2,3,1,34,0,49771,4000,0,0.553011111111111
"8148",170000,1,1,2,30,0,117010,4337,0,0.688294117647059
"8149",80000,2,2,2,25,-1,3002,1921,0,0.037525
"8150",80000,2,1,2,30,0,69533,3500,0,0.8691625
"8151",360000,2,2,1,37,-2,0,0,0,0
"8152",140000,1,1,1,31,2,51028,2500,0,0.364485714285714
"8153",60000,1,2,2,49,0,81411,38709,0,1.35685
"8154",110000,1,3,2,27,0,55567,15753,0,0.505154545454545
"8155",160000,2,1,2,28,0,164262,7900,0,1.0266375
"8156",280000,2,2,1,29,0,233717,10004,0,0.834703571428571
"8157",360000,1,2,1,33,1,296148,14906,0,0.822633333333333
"8158",90000,2,1,2,26,-1,13416,7380,1,0.149066666666667
"8159",50000,1,1,1,50,1,29394,3100,1,0.58788
"8160",4e+05,2,1,1,32,-2,7217,0,0,0.0180425
"8161",150000,1,3,1,50,0,88900,4161,0,0.592666666666667
"8162",1e+05,2,2,2,37,1,3492,10,1,0.03492
"8163",310000,2,1,1,30,0,27289,1489,0,0.0880290322580645
"8164",90000,2,2,1,44,0,82253,8238,0,0.913922222222222
"8165",150000,2,1,1,36,-2,14843,14528,0,0.0989533333333333
"8166",50000,1,2,1,42,0,35255,1690,0,0.7051
"8167",210000,1,1,1,53,-1,6060,5983,0,0.0288571428571429
"8168",3e+05,2,2,2,42,-1,28077,1500,0,0.09359
"8169",110000,2,2,1,33,2,87514,4000,1,0.795581818181818
"8170",150000,2,1,2,25,0,150562,5196,0,1.00374666666667
"8171",210000,1,1,1,42,-1,1729,1315,0,0.00823333333333333
"8172",30000,1,1,2,34,2,21107,3374,1,0.703566666666667
"8173",240000,2,2,1,42,-1,632,0,0,0.00263333333333333
"8174",120000,1,2,2,34,-1,856,856,0,0.00713333333333333
"8175",80000,2,1,2,24,0,31815,4038,0,0.3976875
"8176",80000,2,2,2,25,1,31040,0,1,0.388
"8177",130000,1,1,2,34,2,72996,4000,1,0.561507692307692
"8178",240000,2,3,1,33,0,129600,7000,0,0.54
"8179",60000,1,2,2,23,0,4553,3258,0,0.0758833333333333
"8180",150000,2,2,1,28,0,99294,5008,0,0.66196
"8181",3e+05,1,3,2,29,0,103792,8401,0,0.345973333333333
"8182",250000,1,2,1,40,0,142477,7000,1,0.569908
"8183",20000,1,3,2,40,0,17180,1500,0,0.859
"8184",370000,2,1,2,34,0,206161,10000,0,0.557191891891892
"8185",20000,2,1,2,23,1,6081,0,1,0.30405
"8186",120000,2,2,2,23,0,7945,1000,1,0.0662083333333333
"8187",50000,1,2,2,23,0,19766,1300,0,0.39532
"8188",190000,2,1,2,27,0,72656,2000,1,0.3824
"8189",20000,2,2,2,22,0,15034,1500,0,0.7517
"8190",240000,2,2,1,42,1,15100,0,0,0.0629166666666667
"8191",150000,1,2,2,32,0,80437,7000,0,0.536246666666667
"8192",180000,2,2,1,35,0,8694,1500,0,0.0483
"8193",180000,1,2,2,36,0,136613,6600,0,0.758961111111111
"8194",70000,1,1,2,31,0,45450,0,0,0.649285714285714
"8195",360000,1,1,2,27,-1,5810,4041,0,0.0161388888888889
"8196",120000,2,2,2,33,0,52266,2522,0,0.43555
"8197",90000,1,3,1,49,2,74766,3500,1,0.830733333333333
"8198",110000,1,2,1,32,0,110198,3851,0,1.0018
"8199",1e+05,2,3,1,53,0,36838,1607,0,0.36838
"8200",90000,1,1,2,26,1,58518,3006,0,0.6502
"8201",50000,2,1,1,35,1,47438,0,0,0.94876
"8202",50000,2,2,2,53,0,7343,1139,0,0.14686
"8203",180000,2,1,1,28,1,0,0,0,0
"8204",50000,1,2,1,41,0,36696,10000,0,0.73392
"8205",20000,2,3,2,26,0,13804,1300,0,0.6902
"8206",20000,1,2,2,26,2,36060,0,0,1.803
"8207",20000,2,2,1,23,1,7979,1000,0,0.39895
"8208",20000,1,3,2,49,0,19363,1200,0,0.96815
"8209",50000,2,3,1,48,-1,390,390,1,0.0078
"8210",250000,1,1,2,56,-2,777,0,0,0.003108
"8211",80000,2,2,1,26,0,75405,3000,0,0.9425625
"8212",180000,2,1,2,42,-2,177061,8000,0,0.983672222222222
"8213",80000,2,1,2,32,0,60918,2500,0,0.761475
"8214",180000,2,2,1,30,0,39259,3000,0,0.218105555555556
"8215",150000,2,2,1,29,2,99986,6800,1,0.666573333333333
"8216",50000,2,2,1,52,0,15377,2000,0,0.30754
"8217",30000,1,2,2,25,1,26623,1800,1,0.887433333333333
"8218",270000,2,2,1,45,0,17074,15000,0,0.063237037037037
"8219",130000,2,3,1,43,0,74020,5000,0,0.569384615384615
"8220",2e+05,2,1,2,27,-1,31789,22091,0,0.158945
"8221",360000,1,1,1,46,0,14591,3005,1,0.0405305555555556
"8222",5e+05,1,2,2,27,0,131519,6662,0,0.263038
"8223",1e+05,2,1,2,25,0,11801,1600,0,0.11801
"8224",270000,2,2,1,50,0,22821,2500,0,0.0845222222222222
"8225",1e+05,1,2,1,52,0,64254,2211,1,0.64254
"8226",20000,2,2,2,25,0,17950,2000,0,0.8975
"8227",50000,2,2,1,45,0,47823,3144,0,0.95646
"8228",2e+05,2,2,2,32,-1,2147,1173,0,0.010735
"8229",170000,1,1,1,44,1,84947,2000,1,0.499688235294118
"8230",20000,2,1,2,28,2,18540,2000,1,0.927
"8231",70000,1,3,1,50,2,56781,2,1,0.811157142857143
"8232",260000,2,1,2,38,-1,252,0,0,0.000969230769230769
"8233",2e+05,2,1,1,28,-1,1760,0,0,0.0088
"8234",190000,2,1,2,25,0,106223,7500,0,0.559068421052632
"8235",220000,1,3,1,58,0,22599,1875,0,0.102722727272727
"8236",170000,2,3,2,30,0,38903,5144,0,0.228841176470588
"8237",290000,2,1,2,47,0,281950,11900,0,0.972241379310345
"8238",60000,2,1,2,25,0,31493,2000,0,0.524883333333333
"8239",1e+05,2,3,1,50,0,36925,2000,1,0.36925
"8240",130000,2,3,1,44,-1,632,0,0,0.00486153846153846
"8241",30000,2,2,1,38,3,3379,0,0,0.112633333333333
"8242",20000,1,3,2,28,-1,16122,2000,1,0.8061
"8243",110000,2,1,2,37,2,600,0,1,0.00545454545454545
"8244",130000,2,2,2,43,0,87289,5000,0,0.671453846153846
"8245",50000,2,2,2,23,0,49026,1748,0,0.98052
"8246",110000,1,2,1,48,0,107767,5700,0,0.9797
"8247",80000,2,1,2,25,0,78327,3000,0,0.9790875
"8248",80000,2,2,1,29,1,56340,2600,0,0.70425
"8249",320000,1,1,2,35,0,164511,15000,0,0.514096875
"8250",170000,2,1,2,35,-1,897,861,0,0.00527647058823529
"8251",60000,2,1,2,26,0,41525,1815,0,0.692083333333333
"8252",180000,1,1,2,23,2,157074,5000,1,0.872633333333333
"8253",470000,1,2,2,29,0,59235,3106,0,0.126031914893617
"8254",70000,2,3,1,47,1,30950,3107,0,0.442142857142857
"8255",280000,2,2,1,41,0,40483,2718,0,0.144582142857143
"8256",3e+05,1,1,2,30,0,185327,1500,0,0.617756666666667
"8257",140000,2,2,1,42,0,158495,5530,0,1.13210714285714
"8258",450000,1,1,1,41,-1,70825,17913,0,0.157388888888889
"8259",160000,2,2,1,38,0,105313,5416,0,0.65820625
"8260",50000,2,3,1,45,1,0,0,0,0
"8261",50000,1,2,1,32,0,50669,1613,0,1.01338
"8262",150000,2,1,2,25,0,129911,12200,1,0.866073333333333
"8263",90000,1,1,1,53,0,23551,2400,0,0.261677777777778
"8264",270000,2,2,1,42,0,225245,10000,0,0.834240740740741
"8265",70000,1,1,2,36,0,65275,5000,0,0.9325
"8266",360000,1,2,2,33,-1,9582,2139,0,0.0266166666666667
"8267",250000,2,1,1,42,0,249406,11400,0,0.997624
"8268",360000,2,2,2,34,0,205363,8000,0,0.570452777777778
"8269",20000,2,2,1,39,1,19565,0,0,0.97825
"8270",60000,2,2,2,25,2,600,0,1,0.01
"8271",2e+05,1,2,2,36,1,0,0,0,0
"8272",30000,2,3,2,38,0,25546,3700,1,0.851533333333333
"8273",5e+05,2,1,2,39,1,0,0,0,0
"8274",280000,2,3,1,45,0,50415,10000,0,0.180053571428571
"8275",2e+05,2,2,1,42,-1,1261,0,0,0.006305
"8276",360000,2,2,1,35,1,0,0,0,0
"8277",50000,2,3,2,44,2,42115,0,1,0.8423
"8278",60000,1,2,2,30,0,57041,2148,0,0.950683333333333
"8279",110000,1,2,1,42,-2,100534,3678,0,0.913945454545455
"8280",2e+05,2,3,1,44,0,34760,4000,0,0.1738
"8281",70000,2,2,2,39,2,67607,3700,0,0.965814285714286
"8282",20000,2,1,2,24,-1,379,0,0,0.01895
"8283",220000,2,1,2,27,-2,4289,1031,0,0.0194954545454545
"8284",180000,1,2,1,40,1,172584,1000,0,0.9588
"8285",1e+05,1,2,1,53,2,43611,2500,1,0.43611
"8286",2e+05,2,1,1,41,-1,6402,5189,0,0.03201
"8287",2e+05,1,3,2,34,1,138839,7001,0,0.694195
"8288",4e+05,2,1,1,38,-2,123,123,0,0.0003075
"8289",60000,1,1,1,38,2,59310,2700,0,0.9885
"8290",60000,1,2,2,22,0,59575,2051,0,0.992916666666667
"8291",2e+05,1,1,1,32,0,30144,3000,0,0.15072
"8292",50000,2,1,2,29,-2,0,0,0,0
"8293",3e+05,2,1,2,38,-1,2984,0,1,0.00994666666666667
"8294",160000,2,1,2,32,1,0,0,0,0
"8295",50000,2,2,1,36,-2,3477,1909,0,0.06954
"8296",20000,1,2,2,22,1,6792,0,1,0.3396
"8297",410000,1,1,2,31,-1,4182,0,1,0.0102
"8298",50000,2,2,1,25,-1,42726,3941,1,0.85452
"8299",50000,1,3,1,38,0,10825,1500,0,0.2165
"8300",50000,1,3,1,48,0,10420,1310,0,0.2084
"8301",70000,2,2,2,29,0,4059,2000,0,0.0579857142857143
"8302",120000,1,2,2,25,0,120633,4622,0,1.005275
"8303",160000,1,1,1,51,0,1380,1331,1,0.008625
"8304",30000,2,2,2,22,0,30397,3500,0,1.01323333333333
"8305",160000,2,2,1,33,0,189935,8113,0,1.18709375
"8306",20000,1,2,2,33,0,17439,1340,0,0.87195
"8307",250000,2,1,2,35,-2,0,0,0,0
"8308",30000,2,2,2,26,2,23064,3100,1,0.7688
"8309",180000,2,1,2,29,0,123154,5200,0,0.684188888888889
"8310",30000,2,2,2,25,1,16368,0,0,0.5456
"8311",50000,2,1,2,28,1,4323,0,0,0.08646
"8312",20000,1,1,2,37,2,14688,2700,1,0.7344
"8313",130000,2,3,1,54,0,77506,2900,0,0.5962
"8314",70000,1,1,2,29,1,71267,5,1,1.0181
"8315",180000,2,2,1,32,-1,1991,0,0,0.0110611111111111
"8316",30000,2,2,1,33,2,31947,1872,1,1.0649
"8317",280000,2,2,2,33,1,0,0,0,0
"8318",80000,2,2,2,50,0,8985,2000,0,0.1123125
"8319",140000,2,2,2,27,0,136899,5200,0,0.97785
"8320",180000,1,2,1,27,0,181219,7000,0,1.00677222222222
"8321",20000,1,2,2,55,2,11736,780,0,0.5868
"8322",420000,2,1,2,29,0,105582,23004,0,0.251385714285714
"8323",2e+05,2,1,2,29,0,53493,1060,1,0.267465
"8324",140000,2,1,2,25,0,45068,5000,0,0.321914285714286
"8325",170000,2,3,2,33,0,166348,7354,0,0.978517647058823
"8326",30000,2,2,2,24,0,18220,3000,0,0.607333333333333
"8327",50000,2,1,2,26,1,0,0,0,0
"8328",150000,2,1,1,45,0,123580,3575,0,0.823866666666667
"8329",30000,1,2,2,30,0,6933,3000,1,0.2311
"8330",50000,1,3,2,38,0,50174,3000,0,1.00348
"8331",3e+05,2,1,2,39,-1,2019,1,1,0.00673
"8332",80000,2,3,0,34,0,59451,1834,0,0.7431375
"8333",50000,2,1,2,27,0,39607,5014,0,0.79214
"8334",110000,2,2,1,41,0,100143,4000,0,0.910390909090909
"8335",2e+05,1,3,2,46,-1,396,396,0,0.00198
"8336",30000,1,1,1,38,8,35031,0,1,1.1677
"8337",230000,1,1,2,30,0,101874,8000,0,0.442930434782609
"8338",130000,2,3,1,41,0,101885,3500,0,0.783730769230769
"8339",480000,2,1,2,27,-1,12759,3001,0,0.02658125
"8340",160000,2,1,1,37,-1,9293,5902,0,0.05808125
"8341",10000,1,1,2,27,0,6599,1400,0,0.6599
"8342",360000,2,2,2,33,-1,8552,1118,0,0.0237555555555556
"8343",260000,2,2,1,28,0,251811,9388,0,0.968503846153846
"8344",330000,2,2,1,45,0,47644,2000,0,0.144375757575758
"8345",30000,2,2,1,47,1,5163,0,1,0.1721
"8346",80000,1,2,1,31,2,81712,3271,1,1.0214
"8347",120000,2,2,1,29,-1,7778,3179,1,0.0648166666666667
"8348",170000,1,2,2,30,0,6383,1000,1,0.0375470588235294
"8349",80000,2,2,2,37,-2,3946,0,0,0.049325
"8350",2e+05,1,3,1,44,0,138877,6437,0,0.694385
"8351",80000,2,2,2,26,-1,780,0,1,0.00975
"8352",230000,1,2,1,36,0,19505,3000,0,0.084804347826087
"8353",260000,2,1,1,40,-2,2500,0,0,0.00961538461538462
"8354",50000,2,2,2,28,-1,780,0,0,0.0156
"8355",50000,1,1,2,39,0,49869,2146,0,0.99738
"8356",280000,2,2,2,36,0,91093,3224,0,0.325332142857143
"8357",170000,1,2,2,35,0,115634,5935,0,0.6802
"8358",1e+05,2,2,1,38,2,37516,2000,0,0.37516
"8359",30000,2,1,2,23,0,14790,12037,1,0.493
"8360",150000,2,2,2,26,1,2341,340,0,0.0156066666666667
"8361",50000,1,2,2,29,-2,15519,4000,0,0.31038
"8362",40000,2,1,2,35,0,26801,10000,0,0.670025
"8363",30000,1,3,2,58,-1,390,390,0,0.013
"8364",140000,2,1,1,35,0,26187,3000,0,0.18705
"8365",150000,1,2,2,30,-1,8821,5964,0,0.0588066666666667
"8366",150000,2,2,2,37,0,152349,7000,0,1.01566
"8367",360000,2,1,2,47,1,366577,0,0,1.01826944444444
"8368",170000,1,2,2,43,0,136485,3602,0,0.802852941176471
"8369",50000,1,1,2,26,0,44838,1769,1,0.89676
"8370",260000,2,1,1,43,-1,3209,0,0,0.0123423076923077
"8371",350000,2,3,1,32,-1,70910,30516,0,0.2026
"8372",210000,2,2,1,41,-1,17605,2164,0,0.0838333333333333
"8373",50000,2,2,1,39,3,5171,0,0,0.10342
"8374",170000,1,2,1,46,0,94791,4300,1,0.557594117647059
"8375",50000,2,2,2,24,0,48600,2200,1,0.972
"8376",50000,2,2,1,32,0,24402,8442,0,0.48804
"8377",430000,1,2,2,42,0,59648,2035,0,0.138716279069767
"8378",310000,2,1,2,32,-2,90654,27778,0,0.292432258064516
"8379",120000,1,1,1,41,-1,416,0,0,0.00346666666666667
"8380",5e+05,2,2,2,41,-1,48650,15183,0,0.0973
"8381",270000,1,3,1,53,0,239963,8710,1,0.888751851851852
"8382",190000,1,1,2,26,0,184136,9000,0,0.969136842105263
"8383",390000,2,3,2,30,0,338174,8738,0,0.86711282051282
"8384",90000,2,1,2,31,0,63872,5003,0,0.709688888888889
"8385",2e+05,2,2,1,27,0,174381,7000,0,0.871905
"8386",230000,2,1,1,43,-2,0,0,0,0
"8387",30000,2,1,2,24,2,11483,1519,1,0.382766666666667
"8388",50000,1,2,1,50,0,6449,1129,0,0.12898
"8389",50000,2,2,1,39,0,42822,2000,0,0.85644
"8390",130000,1,2,2,31,0,5551,1500,1,0.0427
"8391",260000,1,2,1,46,0,29562,1500,0,0.1137
"8392",80000,2,1,1,28,-1,9598,60,0,0.119975
"8393",160000,2,2,1,27,0,31666,3000,0,0.1979125
"8394",70000,2,3,2,24,0,65429,3136,0,0.9347
"8395",70000,1,1,2,26,0,60701,2735,0,0.867157142857143
"8396",240000,2,1,2,35,0,18336,5118,0,0.0764
"8397",40000,2,2,1,43,0,36415,1939,0,0.910375
"8398",20000,2,2,2,23,1,17538,0,0,0.8769
"8399",80000,1,2,2,26,0,60315,2850,0,0.7539375
"8400",10000,2,1,1,37,0,5300,0,0,0.53
